translation,category,macrocategory,subcategory,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
cherry sauce or marmalade,Fruit,Fruits and Vegetables,,15.2857142857143,93,1,,,,,,60.5,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chestnuts,Nuts,Flavoring/Other,,18.2,166,1,,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,166,,,,,,,,,
cinnamon,Spice,Flavoring/Other,,23,86,0.6,,23.2,,,20.14,35.203,41.6,,,,,,,,,,83.25,11.5,,0.6,,,,74.34,31.8125,,,,0.5,,0.8,0.7,1.1,0.8,2,,,,,1.5,,,,,,,,,
citrons,Fruit,Fruits and Vegetables,Citrus,61.1818181818182,250,0,,990,,,132,462,447,,,,,,,,,,,,,0,,,,13140,638,,,,30,,127,18,,,,,,,,250,,,,,,,,,
cloves,Spice,Flavoring/Other,,13.13165625,77,0.25,,13,,,10.484,17.328,18.2,,0.25,,,,,,,,52.125,11,,0.5,,,,60.7,20.5625,,,,0.375,,0.344,0.375,0.5625,0.375,2,,,,,1.7,,,,,,,,,
coarse salt,Salt,Flavoring/Other,,46.0909090909091,78,1,,3812,,,2696,4382,4826,,,,,,,,,,,,,24,,,,4786,577,,,,24,,60,14,,,,,,,,48,,,,,,,,,
cod,Fish,Meat,,61.9,192,1,,1356,,,744,1668,2256,,,,,,,,,,,,,12,,,,2652,624,,,,,,,,,,,,,,,192,,144,,,,,,,
cooking wine,Acid,Flavoring/Other,,4.55555555555556,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,,,,,,,,,,,,,,,,
coot,Meat,Meat,"Bird, wild",18.125,83,0,,,,,,,,,,,,,,,,,,,,0,,,,43,8,,,,,,,,,,,,,,,,,,,,,,,,
corned beef,Meat,Meat,Beef,83.1111111111111,576,0,,245,,,540,120,192,,,,,,,,,,,,,0,,,,288,,576,,,,,,,,,,,,,,,,,,,,,,,
