translation,category,macrocategory,subcategory,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
brined/pickled sheep,Meat,Meat,other,-0.446265907222584,0.35063749853203,-0.499392800939558,1.57255605402244,,,,-0.977534844392326,,,,,,,,,,,,,,,,,,,,,,,,,11.125,49,0,,11,,,143,10.25,38,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckwheat groats,Grain,Grain,,-0.0207061491043359,0.253922775858434,0.580861972242685,-0.661506974017466,,,,-0.713817245438947,,-0.635351838306726,-0.491498591897656,,-0.700739677583577,-0.674584541872837,-0.674584541872837,,,,,,,,1.31320577214341,,2.42479903984986,,,,,,,,50.75,240,0,,261.5,,,455.5,753,"1,470.5",,,,,,,,,,,,,0,,,,1061,144,,,,0,,3,3,,,,,,,,155,,240,,,,,,,
burpot,Fish,Meat,,0.919853075672592,,,0.810019872607208,,,,-0.892394774906246,,,,,-0.837478173373554,,,,,,,,,,,,,,,,,,,,4.875,32,0,,1798,,,,,240,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
bustard,Meat,Meat,"bird, wild",,,,0.694628711647188,,,,-1.14613737421786,,0.451508662570672,,,,,,,,,,,,,,,,,,,,,,,13.25,54,0,,,,,,,4,,,,,,,,,,,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
butter,Dairy,Dairy,,-0.355953952111059,-0.400622198122041,-0.360655872743794,-0.371235194167447,-0.253687178349074,,,,0.355211543590101,-0.441764003658472,-0.37828807511655,,-0.446465924291207,-0.049741370904196,-0.444114963974839,0.113062631004251,-0.15494684506164,,-0.422956321127532,,,,0.846562249710902,,3.89340681972314,-0.394744797331122,,,,,-0.394744797331122,-0.338321749738303,402.657894736842,3720,1,,"8,619.5",,,"4,828.5",7978,"8,099.5",,192,,,,,,,,,,,,,,710,19020,9320,,,,340.5,,365.5,30,504,276,,48,,,,1128,,3720,72,,,,,72,120
calf trunk,Meat,Meat,Beef,,,,,,,,,,,,,,0.707106781186548,-0.707106781186548,,,,,,,,,,,,,,,,,,2.88888888888889,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,4,,,,,,,,,,,,,,,,,
candied lemon peel,Fruit,Fruits and Vegetables,,-0.413846287263832,,-0.812734274988008,-0.812734274988008,,-0.413846287263832,,-0.912456271919052,,,-0.61329028112592,,2.07920363601227,0.0847636973913873,,1.18170566363287,0.633234680512129,,,,,,,,,,,,,,,,8.5,31,0,,1.5,,,,0,0,,,,,,,,,,173.75,,,0,,,,,100,,,,4,,10,,21,15.5,,,,,,,,,,,,,,,
capercaillie,Meat,Meat,"bird, fowl, wild",-0.316047219175962,-0.113776998903346,0.695303882187116,1.04927676766419,,,,-1.42853343067535,,0.897574102459732,0.644736327118962,,,-1.42853343067535,,,,,,,,,,,,,,,,,,,46.1111111111111,99,0,,22,,,26,51,94,,,,,,,,,,,,,0,,,,86,8,,,,,,0,,,,,,,,,,,,,,,,,,
capon,Meat,Meat,"bird, fowl",1.14676327806783,0.798221928967159,1.14676327806783,0.907141100561119,,,,-1.16232315972411,-0.900917147898607,0.318977573953738,-0.35632128992881,-0.988052485173774,-1.14053932540532,-0.726646473348272,-0.791997976304647,,,,,,,,-0.00777994082813989,,1.756710638994,,,,,,,,46.2857142857143,134,0,,842,,,609,858,871,,,,,,,,,,,,,0,,,12,515,250,8,,,0,,20,17,,,,,,,,53,,134,,,,,,,
caraway,Spice,Flavoring/Other,,,,,,,-0.541167367084259,,-0.612792459786587,,1.15395982687085,,,,,,,,,,,,,,,,,,,,,,,10.5,75,0,,,,,,,,,,,,,,,,,11,,,0,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,
