translation,category,macrocategory,subcategory,z1641,z1644,z1645,z1646,z1648,z1656,z1657,z1659,z1662,z1663,z1664,z1665,z1668,z1670,z1671,z1672,z1673,z1674,z1675,z1676,z1677,z1678,z1679,z1680,z1681,z1682,z1683,z1684,z1685,z1686,z1687,z1688,mean,max,min,1640,1641,1642,1643,1644,1645,1646,1647,1648,1649,1650,1651,1652,1653,1654,1655,1656,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667,1668,1669,1670,1671,1672,1673,1674,1675,1676,1677,1678,1679,1680,1681,1682,1683,1684,1685,1686,1687,1688
finch,Meat,Meat,"Bird, wild",-0.171038248017601,-0.416379997223177,-0.151410908081155,-0.347684307445616,,,,-0.357497977413839,,-0.131783568144709,-0.033646868462479,,-0.602839726619415,-0.00420585855780989,-0.357497977413839,-0.121969898176486,-0.121969898176486,,,,,,3.4109512903838,,,,,,,,-0.593026056651192,,0.875,1,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fine salt,Salt,Flavoring/Other,,,,1.4821573939837,,,-0.494052464661232,,,,0.435928645289322,-0.290619096859548,,-1.13341447775224,,,,,,,,,,,,,,,,,,,,80.1428571428571,432,1,,3744,,,2112,3648,3835,,,,,,,,,,,,,48,,,,5644,782,,,,24,,84,48,72,72,,,,,,432,,,,,,,,24,
fish guts,Fish,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5714285714286,92,1,,,,,,6,,,,,,,,,,,8,,,,,,,4,20,,,,0,,,,,,,,,,,,,,,,,,,,
flounder,Fish,Meat,,-0.871695801095594,0.708009257223694,1.14450670754876,-0.372841572152661,,,,-0.622268686624127,-0.227342422044305,-0.539126315133638,0.437796549879605,0.624866885733205,-0.850910208222971,-0.248128014916928,-0.975623765458705,,-0.954838172586082,,,,,,1.5602185650012,,2.20457194405249,,,,,,-1.01719495120395,,1.14285714285714,2,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geese,Meat,Meat,"bird, fowl",1.41579984880023,-0.441969264969383,1.47572788472828,1.41579984880023,-0.786555471555681,0.27716716616724,0.966339579339837,-0.696663417663603,,1.89522413622464,-0.441969264969383,,-0.621753372753538,-0.779064467064675,-0.83150149850172,-0.68168140868159,-0.771573462573668,-0.68168140868159,,,,,-0.711645426645616,,,,,,,,,,52.6875,159,1,,1165,,,580,882,2876,,,,,,,,,,,,,23,,,42,1730,654,83,,,12,,41,6,,7,,,,,,128,,159,,,,,,4,
ginger,Spice,Flavoring/Other,,-0.390288791529305,0.128276735677464,1.43833701493667,1.8204379297206,,,,-0.908854318736073,,-0.554046326436705,0.728721030337933,,-0.526753403952139,-0.85426847376694,,,,,,,,,-0.881561396251506,,,,,,,,,,16.3359375,50,3.5,,204.72,,,115.75,221.75,335.2,,4.25,,,,,,,,79.75,33.5,,5.75,,,,337.625,112.25,,,,1,,4.375,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
Gouda Cheese,Dairy,Dairy,,0.560796293118717,0.65557876519512,-0.884636406046427,0.32384011292771,,,,-1.38224438444754,,-0.150072247454305,0.276448876889508,,,-1.14528820425654,,,,,,,,,1.74557719407375,,,,,,,,,,32.1,101,0,,13,,,2,52,99,,,,,,,,,,,,,0,,,,125,43,,,,14,,2,,,,,,,,,1,,,,,,,,,
gray partridge,Meat,Meat,"bird, fowl, wild",0.374305966151159,-0.632126673126646,0.556022970465207,-0.422453206610437,,,,-0.799865446339614,,-0.520300824318001,-0.729974290834211,,-0.170845046790985,,,,,2.34523655140353,,,,,,,,,,,,,,,45,132,0,,52,,,58,123,516,,,,,,,,,,,,,0,,,,3639,62,,,,,,10,,,,,,,,,132,,,,,,,,,
gudgeon,Fish,Meat,,-0.707106781186548,,,0.707106781186548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6666666666667,225,0,,523,,,1196,694,2076,,,,,,,,,,,,,0,,,,13973,107,,,,64,,,,,,225,,,,,,,,,,,,,,
haddock,Fish,Meat,,-1.15454928407819,0.561089371701552,0.593459912376641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2857142857143,94,1,,20,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half dried white bream,Fish,Meat,,0.707106781186548,,,-0.707106781186548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7142857142857,81,1,,162,,,538,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
half-smoked salmon,Fish,Meat,,,,,,,,,-0.870395244846887,,-0.160498413943398,1.69140636232657,,-0.0679031751298989,-0.592609528406391,,,,,,,,,,,,,,,,,,,1.14285714285714,2,1,,293.5,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham,Meat,Meat,pork,1.7846932247651,0.0985413436986865,1.51370452959371,-0.774644451853563,,,,-0.925193726948778,,-0.142337496453658,1.06205670430807,-0.804754306872606,,-0.654205031777391,-0.864974016910692,,,,,,,,-0.292886771548874,,,,,,,,,,16.4444444444444,84,0,,,,,,,,,,,,,,,,,,,,0,,,,145,82,,,,3,,9,,,,,,,,,,,,,,,,,,
hel grouse,Meat,Meat,"bird, fowl, wild",-0.307961753250658,-0.391624380747149,-0.282219406328661,-0.343357480268404,,,,-0.301526166520159,-0.19533898546692,-0.510682735261386,-0.398059967477648,0.155400491345292,-0.455980248052142,0.512575554888004,-0.375535413920901,,-0.497811561800388,,,,,,0.515793348253253,,3.67888422629366,-0.401277760842898,,,,,-0.401277760842898,,21.25,82,0,,595,,,177,485,1057,,,,,,,,,,,,,0,,,,1696,487,4,,,,,9,2,,,,,,,,21,,,,,,,,,
hen,Meat,Meat,"bird, fowl",,0.597590485368091,0.485542269361574,1.71807264543326,0.634939890703597,-0.634939890703597,,,,,,,,,-1.00843394405865,-0.78433751204562,-1.00843394405865,,,,,,,,,,,,,,,,178,1326,1,,5596,,,3253,6603,5619,,,,,,,,,,,,,89,,,122,14760,4210,231,,,62,,342,66,,28,,,,,,343,,1326,58,,,,,58,
honey,Honey,Flavoring/Other,,-0.0665972363535818,-0.1046527999842,1.07506967256496,-0.447152872659763,,,,-0.1046527999842,,1.76006981791609,-0.675486254443472,,-1.43659752705583,,,,,,,,,,,,,,,,,,,,23.1818181818182,78,1,,,,,24,24,6,,48,,,,,,,,36,,,,,,,,,,,,,,,4,10,4,,,,,,,,,,,,,,,
jellied eel,Fish,Meat,,1.74434646379109,-0.0794690871886602,1.94699263612218,0.764889964190855,,,,-0.552310155961189,-0.788730690347453,-0.687407604181911,2.01454136023254,-0.704294785209502,0.190725809252785,0.0218539989768816,-0.60297169904396,-0.721181966237092,-0.417212707740466,,,,,,-0.61985888007155,,-0.788730690347453,-0.721181966237092,,,,,,,45.5,98,1,,24,,,240,48,312,,,,,,,,,,,,,48,,,,96,226,,,,132,,,,,,,,,,,,,,,,,,,,
lamb,Meat,Meat,Other,-1.15284311003726,,0.519724352885652,0.633118757151612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2941176470588,85,1,,463.5,,,140,485.75,366.5,,,,,,,,,,,,,8,,,1,"1,506.75",85.25,3.5,,,4,,25,6.5,3,12,,,,,,6,,1,3,,,,,,
lamprey,Fish,Meat,,,2.26679316535062,0.991722009840897,0.0505980617265764,,,,,,-0.495861004920448,-0.465502167884502,,,-0.586937516028286,,,-0.435143330848557,,,,,,-0.647655190100177,,-0.678014027136123,,,,,,,,23.2857142857143,81,1,,1220,,,,420,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lard,Cooking oil,Flavoring/Other,,-0.0988571033882285,-0.712220494865192,0.0269610281967896,0.278597291366826,,,,-0.948129491587101,,,,,-0.586402363280174,2.04005113355708,,,,,,,,,,,,,,,,,,,19.7272727272727,99,1,,,,,9.5,29.5,2,,,,,,,,,,,,,,,,,11,11,,,,,,4,,,9,,,,,,2,,1,,,,,,,
lark,Meat,Meat,"Bird, wild",-0.307025598221552,-0.437968965939883,-0.204548180007206,-0.261480079015176,-0.489207675047055,-0.506287244749446,3.35938869789171,-0.130536711296845,,,-0.494900864947852,,-0.44366215584068,-0.284252838618364,,0.37046399997329,0.171202353445395,,,,,,-0.341184737626334,,,,,,,,,,41.6666666666667,190,0,,2679,,,1232,3229,60,,,,,,,,,,,,,0,,,,,,,,,24,,190,,,,,,,,,,,,,,,,,,
lemons,Fruit,Fruits and Vegetables,Citrus,0.92262601176699,0.645962808392824,1.71803272146772,1.0263747130323,-0.867039085059644,-0.184026801729672,-0.56443870636915,-0.844560199785493,,1.96011302442011,0.957208912188761,,0.196385102909805,-0.830294753361512,-0.841101909743316,-0.819487596979709,-0.836779047190594,-0.806519009321545,,,,,-0.832456184637873,,,,,,,,,,106.428571428571,700,1,,2757,,,1702,4112,4778,,24,,,,,,,,7862,700,,87,,,,,1697,,,,40,,60,,175,140,,,,,,50,,,,,,,,,
mace,Spice,Flavoring/Other,,-0.33409654387883,1.16370706294873,-0.202710262578166,0.427943887665018,,,,-1.17496874420307,,1.26881608798926,,,-1.14869148794294,,,,,,,,,,,,,,,,,,,,24.09140625,83,0.25,,26.2,,,22.9,42.14,41.3,,0.25,,,,,,,,76,9,,0.9,,,,71.84,37.5,,,,4.09,,1.3125,1,1.625,1.125,2,,,,,1.25,,,,,,,,,
millet gruel,Grain,Grain,,-0.0529295363061496,,-0.503981237002033,1.52575141612944,,,,-0.793943044592244,,1.3002255657815,-0.793943044592244,,,,,,,,,,,,-0.681180119418273,,,,,,,,,,36,94,0,,178,,,60,204,456,,,,,,,,,,,,,0,,,,87,,,,,0,,,,,,,,,,,,,,,,,,,,
Moose,Meat,Meat,"venison, wild",0.829700283636787,,-1.11033420310217,,,,,,,0.280633919465384,,,,,,,,,,,,,,,,,,,,,,,18.0555555555556,74,1,,15.75,,,,10.75,54.25,,,,,,,,,,,,,1,,,,5,10,,,,,,,,,,,,,,,4.5,,,,,,,,,
Moose and pickeled game (probably also moose),Meat,Meat,"venison, wild",0.827490228495786,-1.11120116398006,,0.28371093548427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57142857142857,43,1,,28.87,,,,1,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
mustard,Seasoning,Flavoring/Other,,0.190345398632877,-0.47650469859876,0.241641559958387,0.139049237307366,,,,-0.689383768099629,-0.656041263238047,-0.497023163128965,-0.0866538725248803,-0.527800859924271,-0.548319324454475,-0.697078192298456,-0.804800131082028,,,,,,,,2.04726643861636,,2.36530263883452,,,,,,,,11.1428571428571,66,1,,57,,,10,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutton,Meat,Meat,Other,0.156170683142193,0.156170683142193,1.04524057471846,0.467345145193885,,0.0672636939845667,-0.332817757224752,-0.755125955723478,,2.73447336871336,1.40086853134896,,-0.555085230118818,-0.755125955723478,-0.746679791753503,-0.72845385897619,-0.744012582078774,-0.688445713855258,,,,,-0.721785834789368,,,,,,,,,,76.6607142857143,314,1,,737.25,,,194.12,860.75,931.25,,,,,,,,,,,,,16.25,,,19.5,"2,689.5",671.5,32,,,4,,15.5,5,,,,,,,,283,,314,,,,,,,
nutmeg,Spice,Flavoring/Other,,-0.0957531264931567,-0.0957531264931567,0.270045334267217,-0.762797378467956,,,,-0.343205026419292,,-0.504586700284163,-0.40775769596524,,-0.644450817633717,,,,,,,,,,-0.128029461266131,,2.71228799875559,,,,,,,,17.7193333333333,80,0.5,,14.828,,,14.5,22.03,22.9,,,,,,,,,,62.75,10,,0.5,,,,69.375,36.125,,,,0.6,,0.5,0.69,1.1,0.75,2,,,,,1.25,,,,,,,,,
oat groats,Grain,Grain,,-0.422713398289684,1.0719638111324,1.72588509025457,-0.609548049467445,,0.137790555243599,-0.936508689028527,-1.05328034601463,,,1.0719638111324,,0.0910818924491584,,,,,,,,,,-1.07663467741185,,,,,,,,,,77.1,336,1,,459.5,,,463,936,1275,,,,,,,,,,,,,52,,,,2295,336,,,,28,,,,,,,,,,,72,,336,,,,,,,
olives,Olives,Flavoring/Other,,-0.448692454115895,-0.389008897273876,-0.329325340431857,3.5501058542994,-0.508376010957915,,,0.924029353250549,0.177984892725308,2.71453605851113,-0.0905911130637793,0.983712910092569,0.744978682724491,-0.03090755622176,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.508376010957915,0.267510227988337,,,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.508376010957915,-0.448692454115895,-0.508376010957915,23.25,62,1,,121.5,,,24,31,127,,,,,,,,,,96,4,,1.5,,,,,34,,,,3,,,,,,,,,,,1,,,,,,,,,
oxen,Meat,Meat,Beef,-0.296619956532018,-0.32335139453724,-0.353647024276492,,,-0.383942654015743,,-0.414238283754995,,-0.243157080521574,-0.318005106936196,,-0.330479778005299,2.66344127857956,,,,,,,,,,,,,,,,,,,9.69642857142857,70,1,,1,,,1,1,5,,1,,,,,,,,,,,25,,,12.5,4,11,26,,,2,,9,1,1,1,1,1,1,1,1,14,,,1,1,1,1,1,2,1
oysters,Fish,Meat,,1.34649471504995,0.628746999138465,1.46133434959579,0.140678552318652,,,,-1.40965651405017,,-0.548359254956378,0.456487547319707,,-0.864168249957433,,-1.17997724495849,,,,,,,,,,-0.0315808995001056,,,,,,,,225.888888888889,1727,0,,3456,,,2592,192,,,,,,,,,,,480,,,0,,,,9216,384,,,,768,,1727,,,,,,,,,,,,,,,,,,
pearl barley,Grain,Grain,,,,,,,-0.432373218095377,,,,2.26320356346799,-0.432373218095377,,-0.432373218095377,-0.290500755907831,-0.385082397366195,,,,,,,,-0.290500755907831,,,,,,,,,,40.2,101,0,,662,,,432,789,408.5,,,,,,,,,,,,,0,,,,1808,48,,,,172,,,8,,,,,,,,,,48,,,,,,,
pearl barley groats,Grain,Grain,,-0.600474555169058,-0.534813040115033,-0.482283828071813,-0.475717676566411,,,,2.57754277344575,,-0.360810025221867,-0.357526949469166,,-0.587342252158253,,,,,,,,,,0.0167436863387764,,0.804681866987076,,,,,,,,7.8,59,1,,,,,,,,,,,,,,,,,10,,,,,,,45,10,,,,0,,4,2,,,,,,,,4,,,,,,,,,
peas,Grain,Grain,,1.34959507003392,-0.0083205614675335,1.5193345239716,1.40617488801315,-0.842872876661136,0.387738164387058,0.925246435189717,-0.758003149692295,,1.80223361386774,-0.404379287322125,,-0.574118741259806,-0.828727922166329,-0.885307740145557,-0.743858195197488,-0.828727922166329,-0.743858195197488,,,,,-0.772148104187102,,,,,,,,,,187.2,972,1,,"1,994.5",,,1427,2195,3390,,,,,,,,,,,,,972,,,,6246,736,,,,"1,401.5",,,,,,,,,,,192,,432,,,,,,,
pepper,Spice,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09375,52,3.5,,217.59,,,134.25,247.8125,344.3,,4.25,,,,,,,,95.25,35.5,,5.75,,,,350.875,120.5,,,,1.625,,4.5,3.5,6,4.5,6,,,,,5.5,,,,,,,,,
perch,Fish,Meat,,0.892112076671175,,0.702300996528372,,,,,-0.930074292699736,,-0.892112076671175,1.11988537284254,,-0.892112076671175,,,,,,,,,,,,,,,,,,,,1,1,1,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled carp,Fish,Meat,preserved,-0.334207287083715,0.908358267458303,1.20828788407189,-0.805525256047929,,,,-0.976913608398552,,,,,,,,,,,,,,,,,,,,,,,,,13.25,55,0,,2388,,,,228,,,,,,,,,,,,,,0,,,,0,384,,,,0,,,,,,,,,,,,,,,,,,,,
Pickled deer,Meat,Meat,"venison, wild",-0.176716990784995,-0.363829098674991,-0.675682611824982,-0.239087693414994,,,,-0.519755855249986,,-0.675682611824982,-0.800424017084979,,,,,,,,1.72558943942996,1.72558943942996,,,,,,,,,,,,,25.625,103,0,,17.25,,,6.25,8,11,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled eel,Fish,Meat,,0.94658821992365,1.48749577416574,-0.251135650183825,-0.328408157932695,,,,-0.94658821992365,,,,,-0.907951966049215,,,,,,,,,,,,,,,,,,,,33.8,96,1,,18600,,,1572,1200,2640,,,,,,,,,,,,,24,,,,136,1248,,,,,,,,,,,96,96,,,,,,,,,,,,
pickled gudgeon,Fish,Meat,,1.95933665672608,-0.724102677485726,0.435408145939129,0.070990458577032,,,,,,-0.724102677485726,-0.956004842170697,,,-0.0615250641000942,,,,,,,,,,,,,,,,,,,13.125,64,0,,24,,,348,120,156,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,,-1.21224616663029,-0.476239565461901,-0.259767035706491,0.562828577364065,,,,,,1.38542419043462,,,,,,,,,,,,,,,,,,,,,,,16.9333333333333,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,,-1.21224616663029,-0.476239565461901,-0.259767035706491,0.562828577364065,,,,,,1.38542419043462,,,,,,,,,,,,,,,,,,,,,,,16.9333333333333,64,1,,876,,,1560,3240,3924,,,,,,,,,,,,,,,,,1752,156,,,,,,48,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,preserved,0.492567574748919,-0.1868359766289,-0.288746509335573,-0.628448285024483,,,,-0.662418462593374,,-0.390657042042246,2.29298698590014,,-0.628448285024483,,,,,,,,,,,,,,,,,,,,16.9333333333333,64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled herring,Fish,Meat,preserved,0.492567574748919,-0.1868359766289,-0.288746509335573,-0.628448285024483,,,,-0.662418462593374,,-0.390657042042246,2.29298698590014,,-0.628448285024483,,,,,,,,,,,,,,,,,,,,16.9333333333333,64,1,,876,,,1560,3240,3924,,,,,,,,,,,,,,,,,1752,156,,,,,,48,,,,,,,,,,,,,,,,,,
pickled lamprey,Fish,Meat,,-0.120403923806954,,1.59303653036892,0.203760486442537,,,,-0.86135114723436,,,,,-0.815041945770147,,,,,,,,,,,,,,,,,,,,42.1428571428571,98,1,,192,,,264,300,60,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
pickled pike,Fish,Meat,preserved,,,0.707106781186548,,,,,-0.707106781186548,,,,,,,,,,,,,,,,,,,,,,,,,16.125,88,0,,1848,,,120,100,0,,,,,,,,,,,,,0,,,,1152,96,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pike-perch,Fish,Meat,preserved,0.489843675255793,-0.59296865952017,,1.6113278791309,,,,-0.941015481412444,,0.335156198859226,,,-0.902343612313302,,,,,,,,,,,,,,,,,,,,10.5,54,0,,12160,,,,2844,1920,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled pork,Meat,Meat,pork,,,,,,,,0.707106781186548,,,-0.707106781186548,,,,,,,,,,,,,,,,,,,,,,1.75,8,0,,,,,,1.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pickled salmon,Fish,Meat,preserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,67,0,,192,,,1080,,480,,,,,,,,,,,,,0,,,,1920,,,,,0,,,,,,,,,,,,,,,,,,,,
pickled sturgeon,Fish,Meat,,2.23369877811349,1.05302942396779,2.16987881302454,1.91459895266871,-0.574379685800613,,,,-0.542469703256134,2.13796883048006,0.478649738167177,-0.542469703256134,-0.478649738167177,-0.574379685800613,-0.510559720711656,-0.574379685800613,-0.574379685800613,-0.574379685800613,-0.574379685800613,-0.574379685800613,-0.574379685800613,-0.574379685800613,-0.127639930177914,,0.223369877811349,-0.574379685800613,-0.574379685800613,-0.574379685800613,-0.574379685800613,,-0.542469703256134,,10,60,1,,,,,,,,,,,,,,,,,,,,60,,,,,1200,,,,,,,,,,,,,,,,,,,,,,,,
pickled wild cow,Meat,Meat,"beef, wild",0.614108603609501,0.117730664940681,0.194096501658961,-0.416830192087278,,,,-0.760476457319537,,2.82871786843962,0.308645256736381,,,-0.416830192087278,,-0.607744783882978,,,-0.684110620601257,-0.684110620601257,,,,,-0.493196028805558,,,,,,,,1.42857142857143,4,1,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,Meat,Meat,Pork,0.78125621418752,0.261621595975036,-0.950859179854095,0.694650444485439,,,,0.153364383847435,0.0451071717198338,-0.929207737428574,-0.258013022237449,,-0.691041870747852,-0.712693313173372,-0.885904852577534,,,,,,,,2.49172016580361,,,,,,,,,,15.8461538461538,88,1,,59.75,,,26,53,60.25,,1,,,,,,,,,,,,,,2,74.75,23.5,2,,,0.5,,1,3,1,1,1,1,1,1,1,15,,26,1,1,1,1,,2,
pig's head,Meat,Meat,Pork,1.47643058983831,,,-0.242700918877531,,,,-0.626977373766955,,,,,-0.606752297193827,,,,,,,,,,,,,,,,,,,,16.1538461538462,95,0,,190.5,,,142.5,145.5,115,,,,,,,,,,,,,0,,,,89,2,,,,,,9,,4,,,2,2,,,,,7,,,,,,,
pike,Fish,Meat,,,,,,,0.0450834817333716,,-0.766419189467317,,,1.39758793373452,,-0.676252226000574,,,,,,,,,,,,,,,,,,,,49.75,172,1,,6322,,,4035,10578,7665,,,,,,,,,,,,,64,,,59,12547,3221,,,,285,,24,16,,,,,,,,172,,,,,,,,,
pike-perch,Fish,Meat,,,,,,,-0.422948855730241,,-0.542089378471154,,1.78115081497665,-0.303808332989328,,-0.512304247785926,,,,,,,,,,,,,,,,,,,,3.375,20,0,,8,,,,,18,,,,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
pinenuts,Seeds,Flavoring/Other,,1.76650577138044,0.652150876172706,-0.984557876163648,-0.601498380935991,,-0.984557876163648,,-1.15867582853986,,1.00038678092512,0.861092419024155,,-0.00949734285688409,-0.949734285688406,,,,,,,,,0.408385742846015,,,,,,,,,,5.125,25,0,,,,,,,,,,,,,,,,,21,,,0,,,,,18,,,,0,,,,,,,,,,,,,,,,,,,,
pistachios,Nuts,Flavoring/Other,,0.440021690830956,1.12281396970658,-1.03480963154039,0.849697058156328,,,,-1.41717330771073,,1.01356720508648,,,-0.679757646525062,0.63120352891613,-0.925562866920286,,,,,,,,,,,,,,,,,,12.25,79,0,,,,,,,,,,,,,,,,,12,,,0,,,,64,11,,,,0,,,,,,,,,,,,,,,,,,,,
Plums,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,-0.463966975980229,1.14770778268794,-0.683740806707706,,,,,,,,,,,,,,,,38.9,73,10,,636,,,345,1134,2070,,,,,,,,,,395,,,10,,,,5740,551,,,,63,,16,,,,,,,,,55,,,,,,,,,
Pomagranates,Fruit,Fruits and Vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,94,0,,381,,,65,112,65,,,,,,,,,,,,,0,,,,846,,,,,30,,75,18,,,,,,,,,,,,,,,,,
poppy seeds,Seeds,Flavoring/Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9,92,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,92,42,,,,,,,,,,,,,,,
preserved barberries,Fruit,Fruits and Vegetables,,0.712559879509132,1.57318414956562,-0.869878294465694,,,,,-0.980926587376208,,0.101794268501304,-0.536733415734151,,,,,,,,,,,,,,,,,,,,,,2,8,1,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preserved sturgeon,Fish,Meat,,-0.364787164543274,-0.411405332536024,-0.667805256496153,-0.83096884447078,0.847285203268243,,,0.567576195311739,,,-0.854277928467156,,-1.0990233104291,1.96612123509426,,0.847285203268243,,,,,,,,,,,,,,,,,8.71428571428571,55,1,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,,,,,,,,,,,,,,,,,,,,
quail,Meat,Meat,"Bird, wild",1.61680140450499,1.33327536110629,0.0445206183849201,0.431147041201332,,,,-1.16690883977317,,0.895098748581026,-0.986483175792178,,-0.909157891228895,-0.677182037539048,-0.934932986083323,,,,,,,,0.353821756638049,,,,,,,,,,19.75,93,0,,3,,,649,1,,,,,,,,,,,,,,0,,,,26,13,,,,,,,,,,,,,,,,,,,,,,,,
Quark,Dairy,Dairy,,0.793567965050447,-0.258476422902145,1.19261928461867,1.22889667730669,-0.947746883974533,-1.4193529889188,,-0.040812066774023,,1.48283842612283,0.0680201112900383,,-0.367308600966207,-0.875192098598493,-0.294753815590166,1.44656103343481,0.394516645482222,-1.45563038160682,,,,,-0.947746883974533,,,,,,,,,,81.4545454545455,264,1,,340,,,312,216,199,,168,,,,,,,,,,,144,,,,,168,,,,0,,264,,168,,,,,,,,,,,,,,,,
rabbit,Meat,Meat,wild,0.872833464251783,0.825006973059905,1.39892486736245,0.944573201039601,,-0.801093727463965,1.51849109534214,-0.96848644663554,,-1.08805267461524,0.729353990676148,,0.0597831139898482,-1.0641394290193,-0.872833464251783,,,-0.753267236272087,,,,,-0.801093727463965,,,,,,,,,,36.0909090909091,98,0,,87,,,87,249,457,,,,,,,,,,,,,0,,,,692,109,,,,10,,19,9,,,,,,,,59,,,,,,,,,
raisins,Fruit,Fruits and Vegetables,preserved,,,,,,,,,,0.505392935858792,0.646432824935664,,-1.15182576079446,,,,,,,,,,,,,,,,,,,,49.1333333333333,92,10,,425.5,,,214.75,496.75,661.2,,24,,,,,,,,264,,,49,,,,859,369.5,,,,6,,26,42,90,61,10,,,,,24,,,,,,,,,
rice,Grain,Grain,,1.35893457609203,1.21746820066289,1.52397868075936,-0.645172409154104,,,,-0.928105160012382,,0.651602698946338,0.0621594679915914,,-0.763061055345053,-0.833794243059623,,,,,,,,,-0.739483326106864,,,-0.904527430774193,,,,,,,44.2307692307692,110,2,,520,,,547,837,666.5,,,,,,,,,,328,110,,6,,,,0,697,,,,88,,2,10,,,15,,,,,13,,,,,,,,,
rice flour,Grain,Grain,,1.84596054933533,0.768209177600063,1.94860353711964,-0.309542194135206,-0.678415431485074,-0.0529347246744274,-0.655962277907256,-0.684189099547942,,1.56369233292848,1.02481664706084,,-0.643131904434217,-0.692849601642243,-0.693651499984308,-0.683226821537464,-0.689642008273983,-0.681623024853334,,,,,-0.686113655568898,,,,,,,,,,19.7142857142857,63,1,,,,,,,,,,,,,,,,,,,,,,,,45,45,,,,11,,,,,,,,,,,,,,,,,,,,
roe deer,Meat,Meat,"venison, wild",0.790298220132875,1.43652437535657,-0.255972697848347,1.92888716028891,,,,-1.04067588633426,,0.0517540427343652,-0.194427349731805,,-0.194427349731805,-1.08683489742167,,,,,,,,,-0.440608742197974,,,-0.994516875246857,,,,,,,31.1818181818182,105,0,,67,,,62.75,80.75,127.75,,,,,,,,,,,,,0,,,,51,3,,,,1,,4,,,,,,,,,8,,,1,,,,,,
saffron,Spice,Flavoring/Other,,1.6202808934556,,,-0.810140446727799,,,,,,0.176117488419087,,,-0.810140446727799,-0.176117488419087,,,,,,,,,,,,,,,,,,,23.004296875,104,0.03125,,7.9,,,3.3,8.7,15.7,,0.625,,,,,,,,9.06,1.5,,0.4,,,,8.625,5.375,,,,0.03125,,0.0625,0.03125,0.4375,0.1875,0.5,,,,,0.325,,,,,,,,,
